"title"
"Battlegrounds Mobile India International Cup/2026"
"Battlegrounds Mobile India Pro Series/2026"
"Battlegrounds Mobile India Pro Series/2026/Qualifiers"
"Battlegrounds Mobile India Pro Series/2026/Survival Stage"
"Battlegrounds Mobile India Series/2026"
"Battlegrounds Mobile India Series/2026/The Grind"
"Battlegrounds Mobile India Showdown/2026"
"Blizzard Battlegrounds/2026"
"College Campus Tour/2026"
"Espotz Pro League/2026"
"OneGame/Championship Fall Season/2026"
"OneGame/Championship Summer Series/2026"
"Orion Conquest Series/2026"
"RekRoom Revamp Master Series/2026"
"Rising Star Invitational/2026"
"Trident Ignite/2026/Challengers vs Masters"
"Trident Ignite/2026/Road to Masters"
"Upthrust Esports India Rising/2026"
"Upthrust Esports/Pro Showdown/2026"
