external_match_id,match_number,match_date,tournament_name,stage,map_name,team_name,placement,kills,placement_points,kill_points,total_points,source_url,source_page_id,source_revision_id,source_revision_timestamp,scoring_system
liquipedia-88222-1-2,2,2023-11-07T17:10:00+05:30,Upthrust Esports Diwali Battle 2023,,Miramar,gods reign,12,6,0,6,6,https://liquipedia.net/pubgmobile/Upthrust_Esports/Diwali_Battle/2023,88222,707470,2026-06-03T11:51:52Z,pubgm-2023
liquipedia-88222-1-2,2,2023-11-07T17:10:00+05:30,Upthrust Esports Diwali Battle 2023,,Miramar,team soul,11,5,0,5,5,https://liquipedia.net/pubgmobile/Upthrust_Esports/Diwali_Battle/2023,88222,707470,2026-06-03T11:51:52Z,pubgm-2023
liquipedia-88222-1-2,2,2023-11-07T17:10:00+05:30,Upthrust Esports Diwali Battle 2023,,Miramar,midwave esports,14,0,0,0,0,https://liquipedia.net/pubgmobile/Upthrust_Esports/Diwali_Battle/2023,88222,707470,2026-06-03T11:51:52Z,pubgm-2023
liquipedia-88222-1-2,2,2023-11-07T17:10:00+05:30,Upthrust Esports Diwali Battle 2023,,Miramar,oresports,13,0,0,0,0,https://liquipedia.net/pubgmobile/Upthrust_Esports/Diwali_Battle/2023,88222,707470,2026-06-03T11:51:52Z,pubgm-2023
liquipedia-88222-1-2,2,2023-11-07T17:10:00+05:30,Upthrust Esports Diwali Battle 2023,,Miramar,gujarat tigers,10,4,0,4,4,https://liquipedia.net/pubgmobile/Upthrust_Esports/Diwali_Battle/2023,88222,707470,2026-06-03T11:51:52Z,pubgm-2023
liquipedia-88222-1-2,2,2023-11-07T17:10:00+05:30,Upthrust Esports Diwali Battle 2023,,Miramar,entity gaming,2,4,6,4,10,https://liquipedia.net/pubgmobile/Upthrust_Esports/Diwali_Battle/2023,88222,707470,2026-06-03T11:51:52Z,pubgm-2023
liquipedia-88222-1-2,2,2023-11-07T17:10:00+05:30,Upthrust Esports Diwali Battle 2023,,Miramar,team psyche,9,2,0,2,2,https://liquipedia.net/pubgmobile/Upthrust_Esports/Diwali_Battle/2023,88222,707470,2026-06-03T11:51:52Z,pubgm-2023
liquipedia-88222-1-2,2,2023-11-07T17:10:00+05:30,Upthrust Esports Diwali Battle 2023,,Miramar,8bit,4,3,4,3,7,https://liquipedia.net/pubgmobile/Upthrust_Esports/Diwali_Battle/2023,88222,707470,2026-06-03T11:51:52Z,pubgm-2023
liquipedia-88222-1-2,2,2023-11-07T17:10:00+05:30,Upthrust Esports Diwali Battle 2023,,Miramar,godlike esports,15,1,0,1,1,https://liquipedia.net/pubgmobile/Upthrust_Esports/Diwali_Battle/2023,88222,707470,2026-06-03T11:51:52Z,pubgm-2023
liquipedia-88222-1-2,2,2023-11-07T17:10:00+05:30,Upthrust Esports Diwali Battle 2023,,Miramar,revenant esports,8,8,1,8,9,https://liquipedia.net/pubgmobile/Upthrust_Esports/Diwali_Battle/2023,88222,707470,2026-06-03T11:51:52Z,pubgm-2023
liquipedia-88222-1-2,2,2023-11-07T17:10:00+05:30,Upthrust Esports Diwali Battle 2023,,Miramar,teamxspark,3,0,5,0,5,https://liquipedia.net/pubgmobile/Upthrust_Esports/Diwali_Battle/2023,88222,707470,2026-06-03T11:51:52Z,pubgm-2023
liquipedia-88222-1-2,2,2023-11-07T17:10:00+05:30,Upthrust Esports Diwali Battle 2023,,Miramar,blind esports,1,14,10,14,24,https://liquipedia.net/pubgmobile/Upthrust_Esports/Diwali_Battle/2023,88222,707470,2026-06-03T11:51:52Z,pubgm-2023
liquipedia-88222-1-2,2,2023-11-07T17:10:00+05:30,Upthrust Esports Diwali Battle 2023,,Miramar,gladiators esports,6,0,2,0,2,https://liquipedia.net/pubgmobile/Upthrust_Esports/Diwali_Battle/2023,88222,707470,2026-06-03T11:51:52Z,pubgm-2023
